Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.1914062500,12,3364.5852004033,3377.6206840399,3381.9202581903,3381.4123802089,3339.6772826854,3345.5024506430,3327.7126369925,3328.1221881103,3331.1101895685,3357.7225282934,3387.1679669516,3389.8961805554,3385.8281719410,3356.8886075859,,,
0.1953125000,12,3463.6632207230,3477.2692170703,3481.6658752476,3481.3372118966,3438.0640745986,3443.8626373715,3425.8017402488,3426.0983664364,3429.2905278886,3456.5432593507,3487.0347916488,3490.0196896948,3485.5616990517,3455.8158485892,,,
0.1992187500,12,3559.3852449489,3573.5635656463,3578.0448793213,3577.9127049571,3533.1277730275,3538.8807400431,3520.5821071261,3520.7523285282,3524.1449951834,3552.0165684882,3583.5222602747,3586.7726327895,3581.9175102758,3551.3992591944,,,
0.2031250000,13,3651.5609064622,3666.3128950681,3670.8655276340,3670.9464280768,3624.6793848739,3630.3694299713,3611.8652754890,3611.8956677017,3615.4857008173,3643.9531876345,3676.4374482377,3679.9618496552,3674.7044933502,3643.4492279519,,,
0.2070312500,13,3740.0208547325,3755.3473521478,3759.9570626470,3760.2667693156,3712.5504384983,3718.1622569671,3699.4833381664,3699.3604959586,3703.1455209958,3732.1848071011,3765.6086000143,3769.4152101756,3763.7527598565,3731.7969917908,,,
0.2109375000,13,3824.6170083489,3840.5182124458,3845.1699169773,3845.7231152026,3796.5932329381,3802.1137353759,3783.2891070077,3782.9996301125,3786.9778545288,3816.5643849857,3850.8854592832,3854.9819240209,3848.9138903020,3816.2948547660,,,
0.2148437500,13,3905.2226006606,3921.6978638094,3926.3757511216,3927.1859188732,3876.6809899084,3882.0993844607,3863.1561673593,3862.6866676299,3866.8565122286,3896.9661193401,3932.1393500068,3936.5326416491,3930.0609710794,3896.8162695005,,,
0.2187500000,14,3981.7320077513,3998.7796305174,4003.4673144322,4004.5466351712,3952.7078527854,3958.0156829234,3938.9788154121,3938.3159362574,3942.6758503523,3973.2851150232,4009.2629894932,4013.9593122335,4007.0883826996,3973.2557264098,,,
0.2226562500,14,4054.0604018580,4071.6774639340,4076.3581515582,4077.7175053206,4024.5886964178,4029.7798780665,4010.6718575380,4009.8023024243,4014.3509640549,4045.4369010396,4082.1700999972,4087.1748373639,4079.9113804322,4045.5284365924,,,
0.2265625000,14,4122.1433029270,4140.3255431077,4144.9822019248,4146.6312005671,4092.2587626569,4097.3296166553,4078.1702691452,4077.0808464083,4081.8176229532,4113.3569697376,4150.7949244345,4156.1126066749,4148.4655737261,4113.5698611546,,,
0.2304687500,14,4185.9360925894,4204.6778325180,4209.2933420667,4211.2403633455,4155.6731757562,4160.6224047384,4141.4287441580,4140.1064423656,4145.0317674317,4177.0004134004,4215.0917238350,4220.7259938539,4212.7064068295,4177.3351845477,,,
0.2343750000,15,4245.4135194706,4264.7076229874,4269.2648955926,4271.5170924225,4214.8063919006,4219.6349394734,4200.4211800323,4198.8532902182,4203.9686593484,4236.3415972579,4275.0342655087,4280.9878397542,4272.6086716611,4236.7988085703,,,
0.2382812500,15,4300.5691801247,4320.4070411864,4324.8890954673,4327.4523914897,4269.6516042666,4274.3623785162,4255.1401215897,4253.3144180727,4258.6219606217,4291.3737303722,4330.6152509295,4336.8898921035,4328.1659971689,4291.9538625927,,,
0.2421875000,15,4351.4149291490,4371.7864788831,4376.1764556732,4379.0555543675,4320.2200884004,4324.8176061190,4305.5961509870,4303.5011287983,4309.0029779808,4342.1082323887,4381.8456229895,4388.4421486471,4379.3902234435,4342.8116493092,,,
0.2460937500,15,4397.9801781627,4418.8738914218,4423.1550196888,4426.3534390069,4366.5404614561,4371.0305169077,4351.8171954649,4349.4423442248,4355.1401282240,4388.5739105853,4428.7537433236,4435.6720793599,4426.3106138925,4389.4009433865,,,
0.2500000000,16,4440.3110832489,4461.7139530762,4465.8694997359,4469.3896157939,4408.6578503196,4413.0472966245,4393.8477399993,4391.1838236718,4397.0785000249,4430.8160608905,4471.3845040989,4478.6237597846,4468.9729489491,4431.7671346433,,,
0.2539062500,16,4478.4696580108,4500.3671099814,4504.3803635200,4508.2234326742,4446.6329956827,4450.9296663118,4431.7479587914,4428.7872752809,4434.8793233245,4468.8956090579,4509.7984650581,4517.3569778288,4507.4385988699,4469.9712865431,,,
0.2578125000,16,4512.5328494316,4534.9085948490,4538.7629182460,4542.9290601165,4480.5413282828,4484.7540721596,4465.5927923042,4462.3293944680,4468.6192074289,4502.8883179148,4544.0710454581,4551.9463463423,4541.7836345874,4504.0891897280,,,
0.2617187500,16,4542.5915802070,4565.4274414938,4569.1063863247,4573.5945442839,4510.4720300947,4514.6108189516,4495.4709876511,4491.9008401908,4498.3891058954,4532.8839825233,4574.2916970790,4582.4803884610,4572.0979384870,4534.2104237747,,,
0.2656250000,17,4568.7497318459,4592.0254880118,4595.5129173446,4600.3208484671,4536.5270619791,4540.6031414031,4521.4841016424,4517.6051320179,4524.2930478923,4558.9855013399,4600.5629400286,4609.0605282553,4598.4842234608,4560.4373709068,,,
0.2695312500,17,4591.1230484690,4614.8163310227,4618.0964909137,4623.2208490529,4558.8201305659,4562.8461930662,4543.7454557458,4539.5574619283,4546.4467267774,4581.3077691602,4622.9992139197,4631.7999591044,4621.0569227015,4582.8841286695,,,
