Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
14.7109375000,941,1.7025496267,7.9727618998,9.2198914975,-0.6438002162,0.3841967661,-9.9430910995,-2.9342509409,-0.7763900327,1.3395131965,8.4550383479,11.1387301816,9.3052841216,9.0231629057,4.9568862603,,,
14.7148437500,941,1.1967664700,5.6294125350,7.2648694920,-2.3844000560,-1.0450620760,-10.2134361114,-2.6458017562,0.7011962909,2.1572441614,6.8239234431,8.0031970298,6.4962953211,6.4478032489,3.6594579776,,,
14.7187500000,942,0.7549536707,2.9615386316,4.8951737365,-3.9640294477,-2.3682114576,-9.9294259987,-2.2139628346,2.2357340301,2.9744236363,4.8321956959,4.4845798670,3.4035193472,3.6452469374,2.2301687678,,,
14.7226562500,942,0.3793131812,0.1379440346,2.2440152211,-5.2964067933,-3.5073859776,-9.1199166779,-1.6586432130,3.7159911312,3.7268412759,2.5877076202,0.7907451994,0.2035157563,0.7511972268,0.7400449450,,,
14.7265625000,942,0.0598862269,-2.6633822962,-0.5377403051,-6.3137850114,-4.4004556597,-7.8435001918,-1.0069056567,5.0278545147,4.3416299079,0.2145045986,-2.8655921392,-2.9256562819,-2.1014336305,-0.7397669323,,,
14.7304687500,942,-0.2216463919,-5.2676270467,-3.2903220824,-6.9696653875,-5.0024489884,-6.1812775042,-0.2909000492,6.0649969296,4.7451751596,-2.1542158149,-6.2800565086,-5.8151868850,-4.7874966125,-2.1409778354,,,
14.7343750000,943,-0.4871400480,-7.5147994704,-5.8542452801,-7.2398698312,-5.2864168922,-4.2299640176,0.4542190235,6.7397383647,4.8725908531,-4.3839723961,-9.2684253651,-8.3152993587,-7.1935270273,-3.4009755667,,,
14.7382812500,943,-0.7574023144,-9.2701064938,-8.0798622658,-7.1224107410,-5.2442425964,-2.0957766090,1.1921594298,6.9921686977,4.6764707554,-6.3477209739,-11.6769474381,-10.3037681202,-9.2214128085,-4.4657531857,,,
14.7421875000,943,-1.0488813242,-10.4327589500,-9.8371629555,-6.6364606893,-4.8871019371,0.1112972981,1.8871537437,6.7959644740,4.1332764600,-7.9349688654,-13.3911556728,-11.6929184565,-10.7922948756,-5.2930055897,,,
14.7460937500,943,-1.3718949000,-10.9428499657,-11.0252449188,-5.8204460267,-4.2449629846,2.2832234791,2.5054920589,6.1601666077,3.2468400554,-9.0603982196,-14.3427620034,-12.4346362586,-11.8504197856,-5.8550801946,,,
14.7500000000,944,-1.7299384975,-10.7857337349,-11.5803235115,-4.7291770289,-3.3648360536,4.3193878325,3.0168977867,5.1269776613,2.0491491040,-9.6710584811,-14.5136799055,-12.5226981362,-12.3660752562,-6.1411387667,,,
